instance size,exp2_re_5 - avg time (ms),exp2_re_5 - naive - avg time (ms),exp2_re_10 - avg time (ms),exp2_re_10 - naive - avg time (ms),exp2_re_15 - avg time (ms),exp2_re_15 - naive - avg time (ms),exp2_re_20 - avg time (ms),exp2_re_20 - naive - avg time (ms),exp2_re_25 - avg time (ms),exp2_re_25 - naive - avg time (ms)
101,1.0768817737698555,4.442129284143448,5.05179213359952,8.704773150384426,14.691557735204697,13.124083168804646,32.566241919994354,17.661712132394314,62.25533178076148,21.97555685415864
201,1.0941559448838234,17.886868212372065,5.148372612893581,37.74213371798396,14.741216320544481,54.31022075936198,32.83074824139476,68.05029977113008,61.55669689178467,84.22907302156091
301,1.2607690878212452,40.463178884238005,5.050442181527615,78.24643328785896,14.831269159913063,116.94777198135853,34.19013600796461,163.41636003926396,61.25743221491575,196.58490782603621
401,1.0977168567478657,70.74859319254756,5.090579856187105,138.15080421045423,14.796394854784012,203.58004420995712,34.01809697970748,288.78728998824954,63.123521860688925,358.2527623511851
501,1.1049909517168999,113.51985996589065,5.015938077121973,218.12489721924067,14.892290811985731,371.5424621477723,33.42659492045641,433.1844625994563,62.8560958430171,579.073229804635
601,2.0719212479889393,194.94571583345532,5.018317140638828,349.47627782821655,14.8877939209342,504.47717076167464,33.72595272958279,670.164736919105,62.96474998816848,781.4862881787121
701,1.1273259297013283,266.50954876095057,5.07416483014822,560.3421009145677,14.832574408501387,711.5304502658546,33.86651398614049,935.2853582240641,64.89992793649435,1110.9837228432298
801,1.1349092237651348,352.3316737264395,5.150829907506704,572.2396709024906,14.74891509860754,878.9838589727879,32.958978321403265,1248.4435648657382,63.01594991236925,1493.6398048885167
901,1.149485819041729,452.52776611596346,5.250240210443735,728.8879388943315,15.01708896830678,1101.1508759111166,32.8099150210619,1561.5630079992115,62.816642224788666,1851.7361180856824
1001,1.1563249863684177,556.2927052378654,5.1231239922344685,925.1377680338919,14.798093121498823,1369.0131371840835,33.446633256971836,1907.0650590583682,64.59622969850898,2228.177105076611
